,Title,IMDB id,Year,Rating,Genre,Top_cast
335,Veer,tt1185412,2010,4.6,"Action, Adventure, Drama, Romance, War","Salman Khan, Jackie Shroff, Mithun Chakraborty"
336,Sarkar Raj,tt0490210,2008,6.7,"Action, Crime, Drama"," Shah Rukh Khan, Preity G Zinta, Rani Mukerji  "
337,Rob Roy,tt0114287,1995,6.9,"Adventure, Biography, Drama, History","Amitabh Bachchan, Abhishek Bachchan, Aishwarya...  "
338,Singham Returns,tt2309764,2014,5.7,"Action, Crime, Drama "," Liam Neeson, Jessica Lange, John Hurt  "
339,Agent Vinod,tt1395025,2012,5.2,"Action, Adventure, Thriller","Ajay Devgn, Kareena Kapoor, Amole Gupte  "
340,The Hitchhiker's Guide to the Galaxy,tt0371724,2005,6.7," Adventure, Comedy, Sci-Fi"," Kareena Kapoor, Saif Ali Khan, Ravi Kishan  "
341,Dedh Ishqiya,tt2675978,2014,7.0," Comedy, Drama, Romance, Thriller","Bill Bailey, Anna Chancellor, Warwick Davis  "
342,Rocky Handsome,tt3410408,2016,6.8,"Action, Crime, Drama, Thriller","Naseeruddin Shah, Huma Qureshi, Madhuri Dixit  "
343,Shamitabh,tt3836958,2015,6.7,Drama     ,"John Abraham, Nishikant Kamat, Sharad Kelkar  "
344,Force,tt1992138,2011,6.5,"Action, Crime, Drama, Romance, Thriller","John Abraham, Genelia Deshmukhz Vidyut Jammwal"
345,Duplicate,tt0164550,1998,5.5,"Action, Crime, Drama, Romance, Thriller","Shah Rukh Khan, Juhi Chawla, Sonali Bendre, Kajol"
346,Befikre,tt5108476,2016,4.1,"Comedy, Drama, Romance"," Ranveer Singh, Vaani Kapoor, Djinda Kane  "
347,Mughal-E-Azam,tt0054098,1960,8.1,"Drama, Romance, War","Prithviraj Kapoor, Madhubala, Dilip Kumar  "
348,Page 3,tt15741104,2005,7.3,Drama     ,"Konkona Sen Sharma, Atul Kulkarni, Sandhya Mridul  "
349,Delhi-6,tt1043451,2009,6.2,Drama     ,"Waheeda Rehman, Abhishek Bachchan, Sonam Kapoor  "
350,Raja Hindustani,tt0117437,1996,6.1,"Action, Comedy, Drama, Musical, Romance","Aamir Khan, Karisma Kapoor, Suresh Oberoi  "
351,Golmaal Returns,tt1092005v,2008,5.2,"Comedy, Crime, Mystery","Ajay Devgn, Kareena Kapoor, Arshad Warsi  "
352,Ram Gopal Varma Ki Aag,tt0473310,2007,1.4,"Action, Adventure, Comedy, Crime, Musical","Amitabh Bachchan, Mohanlal, Ajay Devgn  "
353,De Dana Dan,tt1255951,2009,5.8,"Action, Comedy, Crime ","Akshay Kumar, Suniel Shetty, Katrina Kaif  "
354,Dhadkan,tt0255111,2000,6.5,"Drama, Romance","Akshay Kumar, Shilpa Shetty Kundra, Suniel Shetty  "
